Date,cumulative,SPY_Price
2013-08-06,214648.2356822956,218049.85060735236
2013-08-07,214298.00787210424,217343.2690584911
2013-08-08,216295.7712607024,218139.7880784628
2013-08-09,216291.90678502512,217510.2845889752
2013-08-12,217117.30460541596,217253.35119014248
2013-08-13,217743.5531652179,217895.6944886051
2013-08-14,217408.14471603965,216778.0234221639
2013-08-15,215089.72277165344,213746.1622693098
2013-08-16,214636.5487341427,213039.58072044855
2013-08-19,214223.81082832336,211677.81606414967
2013-08-20,214573.87302375646,212718.4090712172
2013-08-21,214643.58842779795,211408.02325358018
2013-08-22,216035.2054751427,213335.05314896803
2013-08-23,216182.6216012352,214054.4745068043
2013-08-26,215416.4787104424,213257.97508959443
2013-08-27,211493.67456796017,209827.86422813535
2013-08-28,212534.93385935985,210572.98480668344
2013-08-29,212848.26958470396,210906.99626488978
2013-08-30,215166.04959722783,210238.95374571532
2013-09-03,216487.7438638299,211189.6288844343
2013-09-04,217754.65421063674,212936.8034403631
2013-09-05,217890.64103891476,213206.59625093258
2013-09-06,218105.53323040257,213309.35392825623
2013-09-09,220017.3597524785,215352.02051546637
2013-09-10,220306.20612859764,216945.01934988616
2013-09-11,218988.9923739674,217625.90167803562
2013-09-12,218672.9434688508,217047.79662997162
2013-09-13,217672.69472390722,217535.983809687
2013-09-16,216791.01583945547,218794.97118590045
2013-09-17,218490.6981047977,219771.34554533116
2013-09-18,221984.97152906907,222315.0195184699
2013-09-19,223210.31609397614,221942.449427815
2013-09-20,222314.9258809995,219321.69739530262
2013-09-23,222229.5248642105,218306.78400618507
2013-09-24,223053.9231858733,217792.91720851965
2013-09-25,222236.68502392882,217163.41371903205
2013-09-26,223229.90841542147,217998.47176869056
2013-09-27,222583.256167627,216996.4177913098
2013-09-30,221301.54495367597,215840.18809242
2013-10-01,225239.8851909194,217548.82361866196
2013-10-02,226265.0968436645,217343.2690584911
2013-10-03,224374.42870330394,215339.1611037296
2013-10-04,225697.37213288716,216970.71857059796
2013-10-07,223658.76411545192,215095.0675138719
2013-10-08,219469.16205954598,212589.93257042
2013-10-09,219445.3174299345,212744.10829192903
2013-10-10,223818.60184184054,217330.42924951608
2013-10-11,225554.8613486196,218730.73293550182
2013-10-14,227183.5289314277,219604.33001484713
2013-10-15,226530.86216845096,218011.31157766553
2013-10-16,229510.01048198462,221056.03214225647
2013-10-17,230326.6271539435,222533.41388761578
2013-10-18,238639.37110885672,224036.49485368695
2013-10-21,239702.93562202412,224049.33466266198
2013-10-22,239838.11926659077,225346.880671324
2013-10-23,238213.44783261593,224267.7486345696
2013-10-24,240286.5821284775,225012.84961035592
2013-10-25,244396.53438516575,226040.60280844846
2013-10-28,242632.75977429966,226400.31348736663
2013-10-29,243728.22361418686,227607.92202491825
2013-10-30,242377.4086451827,226477.39154674023
2013-10-31,240633.21843355132,225835.0482482776
2013-11-01,241574.94889664356,226374.63386941658
2013-11-04,244399.45857235917,227171.13328662651
2013-11-05,243478.15078510807,226451.71192879023
2013-11-06,242156.53633706263,227607.92202491825
2013-11-07,237041.10477466686,224730.2169908114
2013-11-08,240402.12193684187,227762.0781436655
2013-11-11,240874.31416564924,227800.63677611412
2013-11-12,240498.8360091045,227338.14881711054
2013-11-13,243348.53485481863,229162.401432413
2013-11-14,245923.10252088745,230305.77171956602
2013-11-15,246396.84254571333,231307.8256969468
2013-11-18,243218.0935317815,230498.46686800008
2013-11-19,240413.36857399662,229997.4398793097
2013-11-20,240577.83974617592,229278.01852147348
2013-11-21,243858.36248151527,231127.97035748773
2013-11-22,244699.00783415837,232284.18045361576
2013-11-25,244285.72824053507,232052.94627549488
2013-11-26,245543.89600997025,232117.16492313167
2013-11-27,247390.84527361792,232682.4301622207
2013-11-29,248138.6896484955,232528.27404347344
2013-12-02,247428.96287704448,231924.46977469762
2013-12-03,247524.30475112665,230922.41579731688
2013-12-04,249071.2066739442,230896.71657660507
2013-12-05,248416.6945503024,229881.82279024928
2013-12-06,249702.62739485936,232451.1959840998
2013-12-09,250029.48204387238,233042.14084113887
2013-12-10,250877.69229925046,232207.1023942421
2013-12-11,246552.28097912495,229599.19017070477
2013-12-12,246221.47927895482,228841.2297831817
2013-12-13,245930.3972872559,228815.5305624699
2013-12-16,249193.98116848042,230241.53346916742
2013-12-17,249579.74818150315,229509.25269959433
2013-12-18,252178.1814451199,233427.55074076878
2013-12-19,251773.96794843447,233157.77753296104
2013-12-20,254772.36830528287,233247.69540130967
2013-12-23,257398.400629233,234493.84296854818
2013-12-24,257148.06034191343,235007.70976621355
2013-12-26,258142.17351277766,236202.47849479018
2013-12-27,256996.51345602886,236189.63868581515
2013-12-30,257052.84704566863,236151.09965612832
2013-12-31,258802.776476553,237268.77072256958
2014-01-02,256633.4135362341,234994.86995723852
2014-01-03,255573.0283336826,234956.3309275517
2014-01-06,253942.32304124732,234275.44859940227
2014-01-07,259829.26038581628,235714.2913150748
2014-01-08,262583.44854334183,235765.6897564984
2014-01-09,261359.80797324833,235919.84587524566
2014-01-10,261831.61262754066,236562.18917370832
2014-01-13,258715.1856278167,233414.71093179376
2014-01-14,264632.065071372,235958.3849049325
2014-01-15,266704.0739579564,237230.23169288275
2014-01-16,267280.2513073975,236921.89985262643
2014-01-17,267242.7270064389,235919.84587524566
2014-01-21,269542.6070093375,236613.56801237012
2014-01-22,269982.4884043215,236767.74373387918
2014-01-23,267873.47112349316,234827.8544267545
2014-01-24,262838.1411412932,229817.58453985065
2014-01-27,260547.30207355358,228687.05406167265
2014-01-28,262354.90417594335,230048.8383207333
2014-01-29,259709.69129950105,227839.17580580094
2014-01-30,265367.84152674547,230254.3732781424
2014-01-31,263045.31599549775,228905.44843081853
2014-02-03,257904.3679939547,223753.86223414243
2014-02-04,261570.88764460688,225321.1814506122
2014-02-05,261766.87892526042,225038.54883106772
2014-02-06,263763.7951219125,228006.1717335232
2014-02-07,266402.5943809993,230832.47832620644
2014-02-10,266032.92413601687,231256.4272555232
2014-02-11,267873.5358932957,233787.2614196869
2014-02-12,267173.98228381446,233902.89811150913
2014-02-13,269989.3459018478,235110.487046299
2014-02-14,269582.4053722274,236408.03305496104
2014-02-18,272137.2458889943,236690.66567450555
2014-02-19,269979.21998665377,235123.34645803578
2014-02-20,270863.1987178554,236510.8103350465
2014-02-21,270254.98963156657,236241.017524477
2014-02-24,271427.4339076313,237551.40334211403
2014-02-25,272003.1191326849,237461.4658710036
2014-02-26,272787.08150974393,237474.32528274044
2014-02-27,274642.1224393024,238720.4728499789
2014-02-28,272330.175676921,239324.25751599294
2014-03-03,271244.1640069485,237641.32121046272
2014-03-04,273810.6094311009,240981.5142035731
2014-03-05,274364.60552792845,241199.908572719
2014-03-06,272493.3759458937,241752.3144000712
2014-03-07,271368.2467548681,241855.09168015665
